treatment	plant number	height (cm)	Bag mass (g)	Bag + plant (g)	Plant mass (g)	Dried Bag (g)	Dried Plant + Bag (g)	dry biomass (g)
control	1	6.45	19.05	23.8	4.75	17.3355	18.33	0.9945
control	2	10.4	18.15	31.72	13.57	16.5165	18.18	1.6635
control	3	7.5	19.54	35.6	16.06	17.7814	19.63	1.8486
control	4	14.62	18.92	36.11	17.19	17.2172	19.46	2.2428
control	5	7.94	17.73	30.72	12.99	16.1343	17.61	1.4757
control	6	12.61	18.99	35.91	16.92	17.2809	22.3	5.0191
control	7	7.52	19.58	39.1	19.52	17.8178	20.44	2.6222
control	8	6.3	18.24	23.82	5.58	16.5984	17.86	1.2616
control	9	15.55	18.26	32.39	14.13	16.6166	20.65	4.0334
control	10	11.05	19.23	40.62	21.39	17.4993	21.83	4.3307
control	11	10.93	19.43	43.92	24.49	17.6813	22.96	5.2787
control	12							
control	13	12.1	19.07	34.87	15.8	17.3537	22.54	5.1863
control	14	15.17	19.14	42.06	22.92	17.4174	23.53	6.1126
control	15	12.93	19.37	39.79	20.42	17.6267	24.41	6.7833
F13 WT	1	15.2	19.17	37.44	18.27	17.4447	21.92	4.4753
F13 WT	2	11.38	19.44	44.56	25.12	17.6904	25.93	8.2396
F13 WT	3	10.61	19.08	37.06	17.98	17.3628	21.14	3.7772
F13 WT	4	11.3	19.06	33.15	14.09	17.3446	20.7	3.3554
F13 WT	5	14.52	19.46	49.9	30.44	17.7086	21.3	3.5914
F13 WT	6	11.55	18.74	39	20.26	17.0534	19.75	2.6966
F13 WT	7	13.86	18.92	42.38	23.46	17.2172	19.76	2.5428
F13 WT	8	11.91	20.48	39.52	19.04	18.6368	20.66	2.0232
F13 WT	9	13.63	19.2	32.31	13.11	17.472	19.65	2.178
F13 WT	10					0		
F13 WT	11	14	19.07	46.54	27.47	17.3537	20.13	2.7763
F13 WT	12	11.82	21.2	38.81	17.61	19.292	21.75	2.458
F13 WT	13	11.51	18.01	41.8	23.79	16.3891	19.23	2.8409
F13 WT	14	12.02	18.2	45.36	27.16	16.562	19.64	3.078
F13 WT	15	12.17	21.26	30.43	9.17	19.3466	21.93	2.5834
F13 Mutant	1	6.95	18.74	30.62	11.88	17.0534	18.89	1.8366
F13 Mutant	2	13.44	18.64	38.76	20.12	16.9624	19.46	2.4976
F13 Mutant	3	10.5	19.23	35.38	16.15	17.4993	19.39	1.8907
F13 Mutant	4	9.36	18.56	34.12	15.56	16.8896	18.8	1.9104
F13 Mutant	5	12.76	20.4	43.02	22.62	18.564	21.73	3.166
F13 Mutant	6	12.2	18.5	37.63	19.13	16.835	22.31	5.475
F13 Mutant	7	9.1	18.29	33.49	15.2	16.6439	21.3	4.6561
F13 Mutant	8	14.34	19.14	41.87	22.73	17.4174	25.21	7.7926
F13 Mutant	9	10.05	20.17	39.81	19.64	18.3547	25.61	7.2553
F13 Mutant	10	11.51	17.78	30.81	13.03	16.1798	21.09	4.9102
F13 Mutant	11	7	18.97	23.83	4.86	17.2627	18.91	1.6473
F13 Mutant	12	11.53	18.45	34.78	16.33	16.7895	19.2	2.4105
F13 Mutant	13	10.75	19.6	39.6	20	17.836	20.73	2.894
F13 Mutant	14	15.35	19.8	44.07	24.27	18.018	23.04	5.022
F13 Mutant	15	11.7	18.72	44.29	25.57	17.0352	24.02	6.9848
GHu WT	1	10.25	18.7	41.88	23.18	17.017	19.41	2.393
GHu WT	2	14.3	19.41	45.3	25.89	17.6631	20.41	2.7469
GHu WT	3	9.35	19.25	41	21.75	17.5175	19.88	2.3625
GHu WT	4	8.62	18.74	26.02	7.28	17.0534	18.69	1.6366
GHu WT	5	8.51	19.09	25.72	6.63	17.3719	18.75	1.3781
GHu WT	6	11.22	19.39	44.42	25.03	17.6449	20.36	2.7151
GHu WT	7	15.29	18.95	44.47	25.52	17.2445	20.5	3.2555
GHu WT	8	10.39	19.36	30.22	10.86	17.6176	19.23	1.6124
