Treatment	Plant Number	Scan Side	File	Class	Root Tips	Number of Branch Points	Total Root Length (mm)	Branching Frequency	Network Area (mm^2)	Average Diameter (mm)	Median Diameter	Maximum Diameter	Perimeter	Volume	Surface Area	Diameter 1 (length)	Diameter 2	Diameter 3	Diameter 4	Diameter 5	Diameter 1 (area)	Diameter 2	Diameter 3	Diameter 4	Diameter 5	Diameter 1 (surface area)	Diameter 2	Diameter 3	Diameter 4	Diameter 5	Diameter 1 (volume)	Diameter 2	Diameter 3	Diameter 4	Diameter 5	
Control	1	1	control20210629_001.tif	Control_1	104	108	225.543	0.479	112.5	0.776	0.458	3.185	340.97	187.62	542.987	54.527	96.901	69.457	4.658	0	8.051	44.347	107.707	12.733	0	25.293	139.322	338.371	40.001	0	0.962	19.435	139.745	27.479	0	
Control 	1	2	control20210629_002.tif	Control_1_2	19	137	257.636	0.532	148.588	1.018	0.568	4.623	317.441	411.407	826.629	22.15	148.312	57.748	29.426	0	3.452	71.139	92.181	96.352	0	10.845	223.491	289.595	302.698	0	0.437	31.577	123.963	255.431	0	
Control 	2	1	control20210629_001.tif	Control_2	144	666	1319.963	0.505	529.934	0.62	0.381	4.953	2082.011	960.71	2561.38	276.973	847.849	143.296	51.846	0	41.544	371.577	219.663	182.383	0	130.513	1167.803	690.093	572.972	0	5.046	151.182	282.29	522.191	0	
Control 	2	2	control20210629_002.tif	Control_2_2	139	504	1029.022	0.49	453.128	0.745	0.402	5.743	1541.371	1128.225	2410.558	172.202	651.521	149.91	49.792	5.598	26.065	295.459	226.836	188.885	30.061	81.885	928.212	712.626	593.398	94.438	3.192	125.215	286.963	585.878	126.976	
Control 	3	1	control20210629_001.tif	Control_3	235	1134	1999.971	0.567	713.043	0.546	0.359	5.624	3181.336	1213.484	3402.362	415.458	1369.638	158.065	51.526	5.284	63.991	558.077	245.978	186.522	27.936	201.07	1753.48	772.764	587.284	87.764	7.971	208.717	321.773	558.907	116.115	
Control 	3	2	control20210629_002.tif	Control_3_2	213	688	1270.265	0.542	505.6	0.624	0.381	4.828	1981.282	924.675	2498.931	209.509	869.333	146.57	44.852	0	32.033	377.9	222.784	162.676	0	100.672	1187.299	699.897	511.063	0	3.963	151.553	285.641	483.518	0	
Control 	4	1	control20210629_001.tif	Control_4	216	1068	1929.783	0.553	691.938	0.527	0.381	3.42	3022.473	724.823	3154.529	305.685	1421.439	184.337	18.322	0	47.033	628.713	276.891	51.141	0	147.794	1975.733	870.335	160.666	0	5.858	256.404	349.594	112.967	0	
Control 	4	2	control20210629_002.tif	Control_4_2	198	716	1320.072	0.542	512.406	0.595	0.381	5.471	2105.8	884.205	2473.952	224.928	925.533	129.595	37.088	2.928	34.385	405.729	196.082	135.678	15.325	108.023	1275.245	616.295	426.244	48.145	4.251	163.124	250.446	403.344	63.041	
Control 	5	1	control20210629_001.tif	Control_5	99	561	1019.916	0.55	446.128	0.703	0.458	4.32	1529.798	796.704	2232.123	126.975	703.818	144.751	44.371	0	19.705	329.593	216.941	143.836	0	61.906	1035.879	681.902	452.436	0	2.47	141.171	276.798	376.264	0	
Control 	5	2	control20210629_002.tif	Control_5_2	104	533	977.723	0.545	378.669	0.584	0.381	5.037	1573.026	577.333	1777.358	174.42	677.949	97.234	27.992	0.127	26.47	295.937	148.172	94.479	0.638	83.158	929.884	465.497	296.814	2.004	3.256	117.767	190.293	263.5	2.517	
Control 	6	1	control20210629_001.tif	Control_6	246	1532	2310.854	0.663	949.861	0.698	0.458	6.731	3229.558	1951.826	5018.581	266.199	1660.505	306.965	60.285	16.9	40.306	803.817	444.987	210.348	97.651	126.625	2525.865	1398.485	660.827	306.779	4.949	356.634	543.157	600.644	446.442	
Control 	6	2	control20210629_002.tif	Control_6_2	219	948	1744.167	0.544	715.422	0.685	0.402	5.34	2590.471	1414.264	3710.14	256.872	1188.307	229.396	66.594	2.998	39.559	547.415	343.042	234.976	15.536	124.278	1719.756	1077.697	739.6	48.809	4.929	232.066	431.096	682.921	63.252	
Control 	7	1	control20210629_003.tif	Control_7	149	804	1752.98	0.459	791.22	0.692	0.402	5.793	2797.551	1476.521	3761.111	267.779	1189.844	210.573	79.367	5.417	40.709	543.378	319.51	265.091	28.463	127.892	1707.221	1003.77	832.808	89.42	5.009	228.974	407.685	717.196	117.658	
