Sample_name	Treatment	Control	F13Mut	F13	GHuMut	GHu	Time	26_day	17_day	4_day	Symptoms
12f13mut1.sorted.bam	f13_mut	0	1	0	0	0	12	1	0	0	0
12f13mut2.sorted.bam	f13_mut	0	1	0	0	0	12	1	0	0	0
12f13mut3.sorted.bam	f13_mut	0	1	0	0	0	12	1	0	0	0
12f13mut4.sorted.bam	f13_mut	0	1	0	0	0	12	1	0	0	0
12f13mut5.sorted.bam	f13_mut	0	1	0	0	0	12	1	0	0	0
12f13wt1.sorted.bam	f13_wt	0	0	1	0	0	12	1	0	0	0
12f13wt2.sorted.bam	f13_wt	0	0	1	0	0	12	1	0	0	0
12f13wt3.sorted.bam	f13_wt	0	0	1	0	0	12	1	0	0	0
12f13wt4.sorted.bam	f13_wt	0	0	1	0	0	12	1	0	0	0
12f13wt5.sorted.bam	f13_wt	0	0	1	0	0	12	1	0	0	0
12ghumut1.sorted.bam	ghu_mut	0	0	0	1	0	12	2	0	0	0
12ghumut2.sorted.bam	ghu_mut	0	0	0	1	0	12	1	0	0	0
12ghumut3.sorted.bam	ghu_mut	0	0	0	1	0	12	1	0	0	0
12ghumut4.sorted.bam	ghu_mut	0	0	0	1	0	12	1	0	0	0
12ghumut5.sorted.bam	ghu_mut	0	0	0	1	0	12	1	0	0	0
12ghuwt1.sorted.bam	ghu_wt	0	0	0	0	1	12	1	0	0	0
12ghuwt2.sorted.bam	ghu_wt	0	0	0	0	1	12	1	0	0	0
12ghuwt3.sorted.bam	ghu_wt	0	0	0	0	1	12	1	0	0	0
12ghuwt4.sorted.bam	ghu_wt	0	0	0	0	1	12	1	0	0	0
12ghuwt5.sorted.bam	ghu_wt	0	0	0	0	1	12	1	0	0	0
12mock1.sorted.bam	Control	1	0	0	0	0	12	1	0	0	0
12mock2.sorted.bam	Control	1	0	0	0	0	12	1	0	0	0
12mock3.sorted.bam	Control	1	0	0	0	0	12	1	0	0	0
12mock4.sorted.bam	Control	1	0	0	0	0	12	1	0	0	0
12mock5.sorted.bam	Control	1	0	0	0	0	12	1	0	0	0
4f13mut1.sorted.bam	f13_mut	0	1	0	0	0	4	0	1	0	0
4f13mut2.sorted.bam	f13_mut	0	1	0	0	0	4	0	1	0	0
4f13mut3.sorted.bam	f13_mut	0	1	0	0	0	4	0	1	0	0
4f13mut4.sorted.bam	f13_mut	0	1	0	0	0	4	0	1	0	0
4f13mut5.sorted.bam	f13_mut	0	1	0	0	0	4	0	1	0	0
4f13wt1.sorted.bam	f13_wt	0	0	1	0	0	4	0	1	0	0
4f13wt2.sorted.bam	f13_wt	0	0	1	0	0	4	0	1	0	0
4f13wt3.sorted.bam	f13_wt	0	0	1	0	0	4	0	1	0	0
4f13wt4.sorted.bam	f13_wt	0	0	1	0	0	4	0	1	0	0
4f13wt5.sorted.bam	f13_wt	0	0	1	0	0	4	0	1	0	0
4ghumut1.sorted.bam	ghu_mut	0	0	0	1	0	4	0	1	0	0
4ghumut2.sorted.bam	ghu_mut	0	0	0	1	0	4	0	1	0	0
4ghumut3.sorted.bam	ghu_mut	0	0	0	1	0	4	0	1	0	0
